index	vertices	closed
0	1 2 20	1
1	2 3 20	1
2	3 4 20	1
3	4 5 20	1
4	5 21 20	1
5	5 6 21	1
6	6 19 21	1
7	6 7 19	1
8	7 22 19	1
9	7 8 22	1
10	8 23 22	1
11	8 9 23	1
12	9 24 23	1
13	0 24 9	1
14	0 25 24	1
15	0 18 25	1
16	18 27 25	1
17	18 17 27	1
18	17 28 27	1
19	17 16 28	1
20	16 26 28	1
21	16 15 26	1
22	15 29 26	1
23	15 14 29	1
24	14 30 29	1
25	14 13 30	1
26	13 12 30	1
27	12 11 30	1
28	11 10 30	1
